,res,modification
0,61,S-nitrosocysteine; alternate
1,337,Phosphoserine; by PKA
2,431,N6-acetyllysine; by EP300
3,440,N6-acetyllysine; by EP300
4,441,N6-acetyllysine; by EP300
5,449,Phosphoserine
6,678,(3S)-3-hydroxyasparagine; by HIF1AN; partial
7,759,Phosphoserine
8,892,Phosphoserine
9,903,Phosphoserine; by GSK3-beta; in vitro
10,907,Phosphoserine; by GSK3-beta; in vitro
11,923,Phosphoserine
12,927,Phosphoserine; by IKKB
13,932,Phosphoserine; by IKKB
14,937,Phosphoserine
15,943,Phosphothreonine
