uniprot_id	gene_id
P48595	SERPINB10
E9PMI5	SERPINH1
A0A024R6N5	SERPINA1
P20848	SERPINA2
V9HWH1	HEL57
A0A1B0GX82	SERPINB7
Q86U17	SERPINA11
G3V4B4	SERPINA5
A8MV23	SERPINE3
E9PDK7	SERPINB2
P29508	SERPINB3
P48594	SERPINB4
Q96P63	SERPINB12
Q99574	SERPINI1
P05121	SERPINE1
G3V2W1	SERPINA10
C9J7N5	SERPINI2
P05546	SERPIND1
H7BZS9	SERPINB13
C9JZJ9	SERPING1
F5GWT8	SERPINB11
G3V4V7	SERPINA6
A0A6Q8JH89	SERPINA9
P05543	SERPINA7
C9JPV4	SERPINF2
G3V595	SERPINA3
P36952	SERPINB5
P50453	SERPINB9
A0A2R8Y6N4	SERPINB6
P0C7T4	HMSD
Q8IW75	SERPINA12
C9K031	SERPINE2
A0A7P0T9S6	AGT
P50452	SERPINB8
P29622	SERPINA4
I3L107	SERPINF1
