uniprot_id	gene_id
Q96JQ0	DCHS1
A0A8V8TP37	PCDH11Y
Q9BZA7	PCDH11X
H3BUU9	CDH11
J3QKW5	CDH8
Q9ULB5	CDH7
F8WF00	CDHR3
A0A0U2ZQU7	CDH1
H3BRL7	CDH13
E7EN24	CDH17
P55285	CDH6
E7EPN0	CDH9
Q8N5B3	CDH23
D6RBG2	PCDH1
A0A0A0MRC0	DCHS2
P55283	CDH4
Q5VT82	PCDH9
D6RJG0	CDH10
P55289	CDH12
E9PLX6	CDHR5
A0A8V8TM73	PCDH7
Q8N6Y1	PCDH20
D6RER2	CDH18
F1T0L2	CDHR1
Q9BYE9	CDHR2
P22223	CDH3
Q86UP0	CDH24
J3QS15	CDH19
Q9UJ99	CDH22
Q8IXH8	CDH26
H3BR11	CDH5
P19022	CDH2
Q9HBT6	CDH20
Q96JQ0	DCHS1
P55291	CDH15
A0A8V8TP37	PCDH11Y
Q9BZA7	PCDH11X
H3BUU9	CDH11
J3QKW5	CDH8
Q9ULB5	CDH7
F8WF00	CDHR3
A0A0U2ZQU7	CDH1
H3BRL7	CDH13
E7EN24	CDH17
P55285	CDH6
E7EPN0	CDH9
Q8N5B3	CDH23
D6RBG2	PCDH1
A0A0A0MRC0	DCHS2
P55283	CDH4
Q5VT82	PCDH9
D6RJG0	CDH10
P55289	CDH12
E9PLX6	CDHR5
A0A8V8TM73	PCDH7
Q8N6Y1	PCDH20
D6RER2	CDH18
F1T0L2	CDHR1
Q9BYE9	CDHR2
Q86UP0	CDH24
J3QS15	CDH19
Q9UJ99	CDH22
Q8IXH8	CDH26
H3BR11	CDH5
P19022	CDH2
Q9HBT6	CDH20
