,res,modification
0,173,4-hydroxyproline
1,179,4-hydroxyproline
2,182,4-hydroxyproline
3,185,4-hydroxyproline
4,191,4-hydroxyproline
5,194,4-hydroxyproline
6,197,4-hydroxyproline
7,203,4-hydroxyproline
8,206,4-hydroxyproline
9,215,4-hydroxyproline
10,218,4-hydroxyproline
11,236,4-hydroxyproline
12,239,4-hydroxyproline
13,245,4-hydroxyproline
14,248,4-hydroxyproline
15,257,4-hydroxyproline
16,260,4-hydroxyproline
17,263,5-hydroxylysine; alternate
18,281,4-hydroxyproline
19,284,5-hydroxylysine
20,290,4-hydroxyproline
21,296,4-hydroxyproline
22,305,4-hydroxyproline
23,311,4-hydroxyproline
24,314,4-hydroxyproline
25,332,4-hydroxyproline
26,335,4-hydroxyproline
27,338,4-hydroxyproline
28,344,4-hydroxyproline
29,347,4-hydroxyproline
30,359,4-hydroxyproline
31,365,4-hydroxyproline
32,371,4-hydroxyproline
33,383,4-hydroxyproline
34,386,4-hydroxyproline
35,392,4-hydroxyproline
36,404,4-hydroxyproline
37,407,4-hydroxyproline
38,416,4-hydroxyproline
39,425,4-hydroxyproline
40,434,4-hydroxyproline
41,443,4-hydroxyproline
42,455,4-hydroxyproline
43,458,4-hydroxyproline
44,470,4-hydroxyproline
45,473,4-hydroxyproline
46,479,4-hydroxyproline
47,488,4-hydroxyproline
48,500,4-hydroxyproline
49,512,4-hydroxyproline
50,524,4-hydroxyproline
51,530,4-hydroxyproline
52,533,4-hydroxyproline
53,539,4-hydroxyproline
54,542,4-hydroxyproline
55,545,4-hydroxyproline
56,551,4-hydroxyproline
57,554,4-hydroxyproline
58,563,4-hydroxyproline
59,566,4-hydroxyproline
60,575,4-hydroxyproline
61,581,4-hydroxyproline
62,590,4-hydroxyproline
63,599,4-hydroxyproline
64,602,4-hydroxyproline
65,608,4-hydroxyproline
66,620,4-hydroxyproline
67,635,4-hydroxyproline
68,644,4-hydroxyproline
69,650,4-hydroxyproline
70,656,4-hydroxyproline
71,659,4-hydroxyproline
72,661,4-hydroxyproline
73,668,4-hydroxyproline
74,671,4-hydroxyproline
75,680,4-hydroxyproline
76,686,4-hydroxyproline
77,692,4-hydroxyproline
78,701,4-hydroxyproline
79,703,4-hydroxyproline
80,713,4-hydroxyproline
81,716,4-hydroxyproline
82,722,4-hydroxyproline
83,728,4-hydroxyproline
84,737,4-hydroxyproline
85,746,4-hydroxyproline
86,749,4-hydroxyproline
87,755,4-hydroxyproline
88,770,4-hydroxyproline
89,776,4-hydroxyproline
90,785,4-hydroxyproline
91,788,4-hydroxyproline
92,797,4-hydroxyproline
93,806,4-hydroxyproline
94,812,4-hydroxyproline
95,815,4-hydroxyproline
96,821,4-hydroxyproline
97,830,4-hydroxyproline
98,839,4-hydroxyproline
99,845,4-hydroxyproline
100,854,4-hydroxyproline
101,860,5-hydroxylysine
102,866,4-hydroxyproline
103,869,4-hydroxyproline
104,875,4-hydroxyproline
105,881,4-hydroxyproline
106,884,4-hydroxyproline
107,890,4-hydroxyproline
108,892,4-hydroxyproline
109,899,4-hydroxyproline
110,905,4-hydroxyproline
111,914,4-hydroxyproline
112,917,4-hydroxyproline
113,929,4-hydroxyproline
114,935,4-hydroxyproline
115,941,4-hydroxyproline
116,944,4-hydroxyproline
117,962,4-hydroxyproline
118,965,4-hydroxyproline
119,971,4-hydroxyproline
120,977,5-hydroxylysine
121,983,4-hydroxyproline
122,995,4-hydroxyproline
123,1001,4-hydroxyproline
124,1010,4-hydroxyproline
125,1016,4-hydroxyproline
126,1022,4-hydroxyproline
127,1028,4-hydroxyproline
128,1040,4-hydroxyproline
129,1043,4-hydroxyproline
130,1046,4-hydroxyproline
131,1049,4-hydroxyproline
132,1052,4-hydroxyproline
133,1076,4-hydroxyproline
134,1085,4-hydroxyproline
135,1106,5-hydroxylysine
136,1112,4-hydroxyproline
137,1115,4-hydroxyproline
138,1118,4-hydroxyproline
139,1121,4-hydroxyproline
140,1133,4-hydroxyproline
141,1148,4-hydroxyproline
142,1157,4-hydroxyproline
143,1163,4-hydroxyproline
144,1178,4-hydroxyproline
145,1181,4-hydroxyproline
146,1184,4-hydroxyproline
147,1187,4-hydroxyproline
148,1190,4-hydroxyproline
149,1193,4-hydroxyproline
