,res,modification
0,86,Phosphoserine
1,125,N6-acetyllysine
2,160,3'-nitrotyrosine
3,213,N6-acetyllysine
4,271,N6-acetyllysine
5,326,N6-acetyllysine
6,353,N6-acetyllysine; alternate
7,447,N6-succinyllysine
8,492,Omega-N-methylarginine
9,518,O-AMP-threonine; alternate
10,518,Phosphothreonine; alternate
11,585,"N6,N6,N6-trimethyllysine; by METTL21A; in vitro"
12,585,"N6,N6-dimethyllysine; alternate"
13,585,N6-methyllysine; alternate
14,591,N6-methyllysine
15,643,Phosphothreonine
16,648,Phosphothreonine
