uniprot_id	gene_id
P14373	TRIM27
P14373	TRIM27
P14373	TRIM27
P14373	TRIM27
P14373	TRIM27
P14373	TRIM27
A0A3B3IUA7	TRIM25
Q8WV44	TRIM41
A0A8I5KXP2	TRIM52
R4GNC3	TRIM11
C9J1S8	TRIM49D1
A0A087WVN7	TRIM49D1
Q8IWZ4	TRIM48
P19474	TRIM21
Q14142	TRIM14
J3KS72	TRIM37
A6NK02	TRIM75
O60858	TRIM13
Q5VT61	TRIM46
H7C2K0	TRIM22
A2AE50	TRIM26
O15164	TRIM24
Q969Q1	TRIM63
A0A140T8Y9	RNF39
Q6AZZ1	TRIM68
Q9UPQ4	TRIM35
Q9BRZ2	TRIM56
Q96BQ3	TRIM43
A6NCK2	TRIM43B
Q86UV6	TRIM74
I3L0H3	TRIM73
A0A6Q8PFI4	TRIM2
A0A140T9D5	TRIM40
J3KNI5	TRIML2
E9PJD4	TRIM29
A2AAZ5	TRIM39
Q13049	TRIM32
Q96DX7	TRIM44
Q6PJ69	TRIM65
S4R407	TRIM45
Q96LD4	TRIM47
Q9UPN9	TRIM33
E9PFM0	TRIM6
Q9BYV2	TRIM54
Q9BYV6	TRIM55
I1YAP6	TRIM77
H0YKB8	TRIM69
Q9BVG3	TRIM62
Q6ZMU5	TRIM72
A0A6Q8PGA5	MID1
Q8IWZ5	TRIM42
P0CI26	TRIM49C
E9PK69	TRIM49
A6NDI0	TRIM49B
Q9C035	TRIM5
Q9NQ86	TRIM36
A0A8Z5E822	TRIM66
Q9BSJ1	TRIM51
A0A3B3IT33	TRIM51G
Q2Q1W2	TRIM71
Q8N9V2	TRIML1
O75382	TRIM3
J3KNZ3	TRIM17
Q2L6J1	TRIM31
K7ENN8	TRIM16
Q6ZTA4	TRIM67
Q9C026	TRIM9
Q8NG06	TRIM58
Q5W0U4	BSPRY
A0A2R8YFP1	TRIM8
P29590	PML
Q9UJV3	MID2
Q495X7	TRIM60
A0A494C0U7	TRIM61
Q86XT4	TRIM50
Q9BYJ4	TRIM34
O00635	TRIM38
F8W6Z2	MEFV
Q9C029	TRIM7
A0A0G2JJP1	TRIM15
A6NI03	TRIM64B
A6NGJ6	TRIM64
A6NLI5	TRIM64C
Q9UDY6	TRIM10
Q13263	TRIM28
Q9C037	TRIM4
