,res,modification
0,9,Phosphoserine; by PKC/PRKCE
1,13,Phosphoserine
2,15,Phosphoserine
3,21,Phosphoserine
4,22,Phosphoserine
5,23,Omega-N-methylarginine
6,24,Phosphoserine; by PKC/PRKCE
7,26,Phosphothreonine
8,27,Phosphoserine
9,31,Phosphoserine
10,32,Omega-N-methylarginine
11,34,Phosphoserine
12,37,Phosphoserine
13,39,Phosphoserine
14,40,Omega-N-methylarginine
15,43,Phosphoserine
16,44,Phosphoserine
17,47,Asymmetric dimethylarginine; alternate
18,47,Omega-N-methylarginine; alternate
19,74,Phosphoserine; by MAPK
20,101,N6-malonyllysine
21,207,N6-acetyllysine
22,228,Phosphotyrosine
23,253,Phosphoserine
24,258,Phosphoserine
25,274,Phosphoserine
26,291,Phosphoserine
27,295,N6-acetyllysine; alternate
28,325,N6-acetyllysine; alternate
29,330,Phosphoserine
30,400,Phosphoserine
31,404,Phosphoserine
32,410,Phosphoserine
33,417,Phosphoserine
34,424,Phosphoserine
35,432,Phosphoserine; by CaMK2 and MAPK
36,475,Phosphoserine
37,477,Phosphoserine
38,478,Phosphoserine
