,res,modification
0,162,Pyrrolidone carboxylic acid
1,170,Allysine
2,171,Phosphoserine
3,190,4-hydroxyproline
4,193,4-hydroxyproline
5,196,4-hydroxyproline
6,205,4-hydroxyproline
7,208,4-hydroxyproline
8,211,4-hydroxyproline
9,226,4-hydroxyproline
10,241,4-hydroxyproline
11,247,4-hydroxyproline
12,256,4-hydroxyproline
13,262,4-hydroxyproline
14,265,5-hydroxylysine; alternate
15,271,Phosphoserine
16,289,4-hydroxyproline
17,292,4-hydroxyproline
18,298,4-hydroxyproline
19,307,4-hydroxyproline
20,313,4-hydroxyproline
21,334,4-hydroxyproline
22,343,4-hydroxyproline
23,346,4-hydroxyproline
24,373,4-hydroxyproline
25,376,4-hydroxyproline
26,388,4-hydroxyproline
27,394,4-hydroxyproline
28,403,4-hydroxyproline
29,409,4-hydroxyproline
30,412,4-hydroxyproline
31,427,4-hydroxyproline
32,430,5-hydroxylysine
33,436,4-hydroxyproline
34,439,4-hydroxyproline
35,451,4-hydroxyproline
36,460,4-hydroxyproline
37,475,4-hydroxyproline
38,481,4-hydroxyproline
39,490,4-hydroxyproline
40,496,4-hydroxyproline
41,505,5-hydroxylysine
42,514,4-hydroxyproline
43,523,4-hydroxyproline
44,529,4-hydroxyproline
45,535,4-hydroxyproline
46,544,4-hydroxyproline
47,547,4-hydroxyproline
48,556,4-hydroxyproline
49,565,4-hydroxyproline
50,571,4-hydroxyproline
51,583,4-hydroxyproline
52,592,4-hydroxyproline
53,601,4-hydroxyproline
54,604,4-hydroxyproline
55,622,4-hydroxyproline
56,640,4-hydroxyproline
57,646,4-hydroxyproline
58,652,4-hydroxyproline
59,658,4-hydroxyproline
60,664,4-hydroxyproline
61,670,4-hydroxyproline
62,682,4-hydroxyproline
63,691,4-hydroxyproline
64,703,4-hydroxyproline
65,715,4-hydroxyproline
66,718,4-hydroxyproline
67,724,4-hydroxyproline
68,730,4-hydroxyproline
69,739,4-hydroxyproline
70,751,5-hydroxylysine
71,757,4-hydroxyproline
72,772,4-hydroxyproline
73,778,4-hydroxyproline
74,787,Phosphoserine
75,799,4-hydroxyproline
76,805,4-hydroxyproline
77,808,4-hydroxyproline
78,817,4-hydroxyproline
79,823,4-hydroxyproline
80,841,4-hydroxyproline
81,850,4-hydroxyproline
82,859,4-hydroxyproline
83,862,5-hydroxylysine
84,871,4-hydroxyproline
85,877,4-hydroxyproline
86,885,3-hydroxyproline
87,886,4-hydroxyproline
88,895,4-hydroxyproline
89,898,4-hydroxyproline
90,919,4-hydroxyproline
91,928,4-hydroxyproline
92,937,4-hydroxyproline
93,946,4-hydroxyproline
94,964,4-hydroxyproline
95,973,4-hydroxyproline
96,976,4-hydroxyproline
97,982,4-hydroxyproline
98,997,4-hydroxyproline
99,1003,4-hydroxyproline
100,1009,4-hydroxyproline
101,1018,4-hydroxyproline
102,1024,4-hydroxyproline
103,1033,5-hydroxylysine
104,1045,4-hydroxyproline
105,1048,4-hydroxyproline
106,1051,4-hydroxyproline
107,1096,5-hydroxylysine
108,1108,5-hydroxylysine; alternate
109,1120,4-hydroxyproline
110,1123,4-hydroxyproline
111,1126,4-hydroxyproline
112,1144,4-hydroxyproline
113,1159,4-hydroxyproline
114,1164,3-hydroxyproline
115,1165,4-hydroxyproline
116,1179,3-hydroxyproline
117,1180,4-hydroxyproline
118,1182,3-hydroxyproline
119,1183,4-hydroxyproline
120,1185,3-hydroxyproline
121,1186,4-hydroxyproline
122,1189,4-hydroxyproline
123,1192,4-hydroxyproline
124,1208,Allysine
