,res,modification
0,1,N-acetylmethionine
1,4,Phosphoserine
2,282,Phosphothreonine
3,1106,Phosphoserine; by CK1
4,1205,Phosphothreonine
5,1213,Phosphoserine
6,1244,Phosphothreonine
7,1247,Phosphoserine
8,1295,Phosphoserine
9,1297,Phosphoserine
10,1299,Phosphoserine
11,1302,Phosphoserine
12,1327,Phosphothreonine
13,1332,Phosphoserine
14,1337,Phosphoserine
15,1343,Phosphothreonine; by PLK3
16,1351,Phosphoserine
17,1354,Phosphoserine
18,1374,Phosphoserine
19,1377,Phosphoserine
20,1387,Phosphoserine
21,1391,Phosphoserine
22,1392,Phosphoserine
23,1393,Phosphoserine
24,1422,N6-acetyllysine; alternate
25,1442,N6-acetyllysine; alternate
26,1449,Phosphoserine
27,1469,Phosphoserine; by CK2
28,1470,Phosphothreonine
29,1471,Phosphoserine
30,1474,Phosphoserine
31,1476,Phosphoserine
32,1495,Phosphoserine
33,1504,Phosphoserine
34,1525,Phosphoserine
