uniprot_id	gene_id
E7EVR7	FGFR2
P29317	EPHA2
P09619	PDGFRB
E7ER61	FLT3
F8W9L4	FGFR3
X5D7M5	NTRK3
P35968	KDR
Q8IWU2	LMTK2
L7RSL3	FLT1
Q04912	MST1R
J3QLV2	ERBB2
Q96L35	EPHB4
J3KQG3	EPHA10
F8VP57	EPHA5
Q6NVW1	EPHB2
C9J5X1	IGF1R
P21709	EPHA1
P29376	LTK
E7EQ23	DDR1
O15146	MUSK
A0A6Q8PHG5	NTRK1
P54764	EPHA4
B5A954	TEK
P35590	TIE1
E9PQ40	FGFR1
H7C3L9	MERTK
E9PEK4	CSF1R
H0YNK6	TYRO3
P34925	RYK
Q16832	DDR2
D6RJD4	FGFR4
Q01973	ROR1
Q01974	ROR2
P54762	EPHB1
Q5VWE5	NTRK2
P30530	AXL
A0A7P0T9L5	EPHA7
P08922	ROS1
Q504U8	EGFR
E9PDR1	ERBB4
A0A087WZL3	ALK
O75812	ERBB3
A0A087WTE3	EPHB6
P54753	EPHB3
H0Y8K5	EPHA6
P06213	INSR
P14616	INSRR
C9JXA2	EPHA3
E6Y365	MET
P29322	EPHA8
P16234	PDGFRA
A0A8J8Z860	KIT
A0A087WWB1	RET
